id	title	description	price	condition	link	image_link	availability	brand	mpn	adult 	product_weight	shipping_weight
1001001016	DiaSin Hohlbohrer ohne Gewinde, 2,0mm 	DiaSin Hohlbohrer ohne Gewinde, 2,0mm 	24.9000003 EUR	new	https://shop.aquarus.net/de/bohren1/bohrer/diasin-hohllochbohrer/diasin-hohlbohrer-ohne-gewinde-2-0mm 	https://shop.aquarus.net/media/images/org/1001001016.jpg 	in_stock	Aquarus	1001001016 	no	0.0120 kg	0.0120 kg
1001001017	DiaSin Hohlbohrer ohne Gewinde, 2,5mm 	Gesinterter Hohlbohrer zum Bohren von allen Natursteinsorten,Glas, Keramik, Feinsteinzeug etc. Diesem Bohrer  sollte ausschließlich einer Wasserkühlung zugeführt werden. Einsatz in alle handelsüblichen Ständerbohrmaschinen oder Hängebohrmaschinen. 	26.3999953 EUR	new	https://shop.aquarus.net/de/bohren1/bohrer/diasin-hohllochbohrer/diasin-hohlbohrer-ohne-gewinde-2-5mm 	https://shop.aquarus.net/media/images/org/1001001017.jpg 	in_stock	Aquarus	1001001017 	no	0.0120 kg	0.0120 kg
1001001018	DiaSin Hohlbohrer gesintert, 05mm, 1/2" G 	Leistungsstarker gesinterter Hohllochbohrer für den Nass - und Trockeneinsatz. Einsetzbar für alle Naturstein, Glas, Quarze, Fliesen, Feinsteinzeug. Für eine längere Standzeit empfehlen wir den Nasseinsatz.    Bohrtiefe:ca.2,0-3,0cm 	26.0000006 EUR	new	https://shop.aquarus.net/de/bohren1/bohrer/diasin-hohllochbohrer/diasin-1-2-zoll-gewinde/diasin-hohlbohrer-gesintert-05mm-1-2-g 	https://shop.aquarus.net/media/images/org/1001001018_4.jpg 	in_stock	Aquarus	1001001018 	no	0.1800 kg	0.1800 kg
1001001019	DiaSin Hohlbohrer gesintert, 06mm, 1/2" G 	Leistungsstarker gesinterter Hohllochbohrer für den Nass - und Trockeneinsatz. Einsetzbar für alle Naturstein, Glas, Quarze, Fliesen, Feinsteinzeug. Für eine längere Standzeit empfehlen wir den Nasseinsatz.  Bohrtiefe:ca.2,0-3,0cm 	27.0000052 EUR	new	https://shop.aquarus.net/de/bohren1/bohrer/diasin-hohllochbohrer/diasin-1-2-zoll-gewinde/diasin-hohlbohrer-gesintert-06mm-1-2-g 	https://shop.aquarus.net/media/images/org/1001001018_4.jpg 	in_stock	Aquarus	1001001019 	no	0.1800 kg	0.1800 kg
1001001020	DiaSin Hohlbohrer gesintert, 08mm, 1/2" G 	Leistungsstarker gesinterter Hohllochbohrer für den Nass - und Trockeneinsatz. Einsetzbar für alle Naturstein, Glas, Quarze, Fliesen, Feinsteinzeug. Für eine längere Standzeit empfehlen wir den Nasseinsatz.  Bohrtiefe:ca.2,0-3,0cm 	28.5000002 EUR	new	https://shop.aquarus.net/de/bohren1/bohrer/diasin-hohllochbohrer/diasin-1-2-zoll-gewinde/diasin-hohlbohrer-gesintert-08mm-1-2-g 	https://shop.aquarus.net/media/images/org/1001001020_4.jpg 	in_stock	Aquarus	1001001020 	no	0.1800 kg	0.1800 kg
1001001021	DiaSin Hohlbohrer gesintert, 10mm, 1/2" G 	Leistungsstarker gesinterter Hohllochbohrer für den Nass - und Trockeneinsatz. Einsetzbar für alle Naturstein, Glas, Quarze, Fliesen, Feinsteinzeug. Für eine längere Standzeit empfehlen wir den Nasseinsatz. Bohrtiefe:ca.4,0-5,0cm 	29.0000025 EUR	new	https://shop.aquarus.net/de/bohren1/bohrer/diasin-hohllochbohrer/diasin-1-2-zoll-gewinde/diasin-hohlbohrer-gesintert-10mm-1-2-g 	https://shop.aquarus.net/media/images/org/1001001021_4.jpg 	in_stock	Aquarus	1001001021 	no	0.1800 kg	0.1800 kg
1001001022	DiaSin Hohlbohrer gesintert, 12mm, 1/2" G 	Leistungsstarker gesinterter Hohllochbohrer für den Nass - und Trockeneinsatz. Einsetzbar für alle Naturstein, Glas, Quarze, Fliesen, Feinsteinzeug. Für eine längere Standzeit empfehlen wir den Nasseinsatz. Bohrtiefe:ca.3,0-4,0cm 	30.9999998 EUR	new	https://shop.aquarus.net/de/bohren1/bohrer/diasin-hohllochbohrer/diasin-1-2-zoll-gewinde/diasin-hohlbohrer-gesintert-12mm-1-2-g 	https://shop.aquarus.net/media/images/org/1001001022_3.jpg 	in_stock	Aquarus	1001001022 	no	0.1800 kg	0.1800 kg
1001001023	DiaSin Hohlbohrer gesintert, 15mm, 1/2" G 	Leistungsstarker gesinterter Hohllochbohrer für den Nass - und Trockeneinsatz. Einsetzbar für alle Naturstein, Glas, Quarze, Fliesen, Feinsteinzeug. Für eine längere Standzeit empfehlen wir den Nasseinsatz. Bohrtiefe:ca.2,0-3,0cm 	32.9999971 EUR	new	https://shop.aquarus.net/de/bohren1/bohrer/diasin-hohllochbohrer/diasin-1-2-zoll-gewinde/diasin-hohlbohrer-gesintert-15mm-1-2-g 	https://shop.aquarus.net/media/images/org/1001001023_6.jpg 	in_stock	Aquarus	1001001023 	no	0.2000 kg	0.2000 kg
1001001024	DiaSin Hohlbohrer gesintert, 20mm, 1/2" G 	Leistungsstarker gesinterter Hohllochbohrer für den Nass - und Trockeneinsatz. Einsetzbar für alle Naturstein, Glas, Quarze, Fliesen, Feinsteinzeug. Für eine längere Standzeit empfehlen wir den Nasseinsatz. Bohrtiefe:ca.2,5-3,0cm 	40.4999959 EUR	new	https://shop.aquarus.net/de/bohren1/bohrer/diasin-hohllochbohrer/diasin-1-2-zoll-gewinde/diasin-hohlbohrer-gesintert-20mm-1-2-g 	https://shop.aquarus.net/media/images/org/1001001024_1.jpg 	in_stock	Aquarus	1001001024 	no	0.2000 kg	0.2000 kg
1001001025	DiaSin Hohlbohrer gesintert, 25mm, 1/2 zoll G 	Leistungsstarker gesinterter Hohllochbohrer für den Nass - und Trockeneinsatz. Einsetzbar für alle Naturstein, Glas, Quarze, Fliesen, Feinsteinzeug. Für eine längere Standzeit empfehlen wir den Nasseinsatz. Bohrtiefe:ca.4,0-5,0cm 	45.9999974 EUR	new	https://shop.aquarus.net/de/bohren1/bohrer/diasin-hohllochbohrer/diasin-1-2-zoll-gewinde/diasin-hohlbohrer-gesintert-25mm-1-2-zoll-g 	https://shop.aquarus.net/media/images/org/10010010255.jpg 	in_stock	Aquarus	1001001025 	no	0.2800 kg	0.2800 kg
1001001026	DiaSin Hohlbohrer gesintert, 30mm, 1/2" G 	Leistungsstarker gesinterter Hohllochbohrer für den Nass - und Trockeneinsatz. Einsetzbar für alle Naturstein, Glas, Quarze, Fliesen, Feinsteinzeug. Für eine längere Standzeit empfehlen wir den Nasseinsatz. Bohrtiefe:ca.4,0cm 	47.9999947 EUR	new	https://shop.aquarus.net/de/bohren1/bohrer/diasin-hohllochbohrer/diasin-1-2-zoll-gewinde/diasin-hohlbohrer-gesintert-30mm-1-2-g 	https://shop.aquarus.net/media/images/org/1001001026_1.jpg 	in_stock	Aquarus	1001001026 	no	0.3000 kg	0.3000 kg
1001001027	DiaSin Hohlbohrer gesintert, 35mm, 1/2" G 	Leistungsstarker gesinterter Hohllochbohrer für den Nass - und Trockeneinsatz. Einsetzbar für alle Naturstein, Glas, Quarze, Fliesen, Feinsteinzeug. Für eine längere Standzeit empfehlen wir den Nasseinsatz. Bohrtiefe:ca.4-4,5cm 	55.0000031 EUR	new	https://shop.aquarus.net/de/bohren1/bohrer/diasin-hohllochbohrer/diasin-1-2-zoll-gewinde/diasin-hohlbohrer-gesintert-35mm-1-2-g 	https://shop.aquarus.net/media/images/org/1001001027_1.jpg 	in_stock	Aquarus	1001001027 	no	0.3000 kg	0.3000 kg
