1;Versandmarke erstellt;shipment.tracking.label_created
2;Beim Absender abgeholt;shipment.tracking.picked_up
3;Versand;shipment.tracking.transit
4;Unterwegs;shipment.tracking.out_for_delivery
5;Zugestellt;shipment.tracking.delivered
7;Die Sendung kann durch den Empfänger abgeholt werden;shipment.tracking.awaits_pickup_by_receiver
8;Abgebrochen;shipment.tracking.canceled
9;Transport/Auslieferung verzögert sich;shipment.tracking.delayed
10;Fehler;shipment.tracking.exception
11;Nicht zugestellt;shipment.tracking.not_delivered
12;Tracking: Beanchrichtigung erhalten;shipment.tracking.notification
13;Tracking: beendet;shipment.tracking.destroyed
14;Tracking: unbekanntes Ereignis;shipment.tracking.unknown
