
language;fa fa-language
language_content;fas fa-paragraph
localizing;fa fa-map-pin
config_plugin;fa fa-puzzle-piece
email_manager;far fa-envelope
content_manager;far fa-file-alt
manufacturer;fa fa-industry
config_store;fa fa-cogs
product;fa fa-barcode

config;fa fa-cog
contentroot;fa fa-file
shop;fa fa-book
tax;fa fa-percent
currency;fa fa-euro-sign
tax_class;fa fa-folder
payment;fa fa-credit-card
shipping;fa fa-shipping-fast
countries;fas fa-globe-americas
ordertab;fa fa-shopping-cart
order;fa fa-shopping-cart
customer;far fa-address-book
customers_status;fas fa-users
exp;fas fa-file-export
export;fas fa-file-export

system_status;fa fa-list-ul
content;far fa-file-alt
content_blocks;fas fa-th
media_manager;far fa-images
plugin_installed;far fa-check-circle
plugin_uninstalled;far fa-times-circle
configuration;fa fa-cog
admin_perm;fa fa-lock
acl_area;fa fa-list-ul
acl_groups;fa fa-users
acl_user;fa fa-user

systemroot;fa fa-tachometer-alt

logs;
bruto_force_protection;
MediaGallery;far fa-images
MediaFileTypes;far fa-file-word
ImageTypes;far fa-file-image

callback;
LogHandler;far fa-file-alt

shipping_zone;fas fa-truck
federal_states;

phpinfo;fab fa-php
license_info;
xt_cron;fa fa-clock

config_seo;fa fa-magic
seo_plugins;
stop_words;
redirect;
redirect_deleted;
redirect_404;
conf_seo;
seo_regenerate;

slider;far fa-images

themes;fab fa-css3-alt
